Depth[m],Vs[m/sec],Vp[m/sec]
-0,204.65374,520.243
-1,204.65374,520.243
-2,242.4058,582.261
-3,277.5232,631.5992
-4,331.5488,676.3218
-5,372.347,727.4858
-6,434.9674,776.1038
-7,480.6406,840.554000000001
-8,512.5016,884.8408
-9,543.0172,935.0896
-10,576.9314,994.7486
-11,613.4842,1074.0392
-12,655.0024,1162.231
-13,692.2746,1258.308
-14,731.3252,1353.5082
-15,779.0786,1474.1964
-16,815.0388,1613.2132
-17,865.678,1756.819
-18,910.6146,1929.1236
-19,951.9602,2087.345
-20,1005.408,2219.1746
-21,1079.8198,2350.718
-22,1153.3204,2481.414
-23,1246.758,2591.136
-24,1374.0416,2740.442
-25,1486.531,2906.344
-26,1573.3716,3112.216
-27,1642.0444,3333.222
-28,1694.6224,3523.116
-29,1756.5248,3670.802
-30,1837.798,3904.964
-35,1996.203,4177.216
-45,2212.8554,4711.084
