Depth[m],Vs[m/sec],Vp[m/sec]
-0,148.587,287.21
-1,148.587,287.21
-2,197.666,417.23
-3,230.12,718.29
-4,261.44,774.34
-5,269.62,814.24
-6,276.33,861.17
-7,286.68,916.75
-8,314.87,1138.44
-9,331.69,1189.76
-10,341.18,1231.18
-11,347.43,1272.33
-12,350.51,1316.37
-13,353.72,1354.38
-14,356.21,1395.51
-15,358.54,1438.65
-16,359.88,1495.37
-17,361.54,1562.05
-18,363.07,1630.74
-19,364.48,1709.26
-20,366.18,1807.82
-21,368.47,1891.93
-22,370.13,2032.97
-23,372.4,2142.83
-24,374.98,2226.4
-25,379.06,2317.92
-26,382.85,2419.57
-27,387.74,2528.89
-28,394.48,2694.26
-29,401.83,2866.9
-30,415.49,3089.4
-40,437.42,3967
