Depth[m],Vs[m/sec],Vp[m/sec]
-0,234.6112,850.0924
-1,234.6112,850.0924
-2,273.9774,896.6396
-3,416.023,935.2954
-4,426.6226,965.3816
-5,430.8334,993.9114
-6,433.1162,1037.7188
-7,435.5644,1095.873
-8,437.1544,1172.7108
-9,438.9962,1293.7412
-10,440.874,1613.364
-11,441.888,1726.99
-12,443.4452,1795.567
-13,445.6562,1858.2226
-14,447.7298,1930.587
-15,449.1244,1996.7682
-16,450.3948,2089.7062
-17,452.3228,2204.3728
-18,454.3842,2391.386
-19,456.864,2532.846
-20,460.5838,2677.57
-21,462.8112,2783.772
-22,466.7352,2884.914
-23,471.125,3000.166
-24,475.8152,3152.288
-25,480.4752,3338.672
-26,488.4872,3761.004
-27,494.8386,3900.344
-28,504.121,4052.15
-29,517.2518,4217.77
-30,538.2106,4442.526
-40,574.3042,4935.414
