Depth[m],Vs[m/sec],Vp[m/sec]
-0,225.2016,565.507
-1,225.2016,565.507
-2,244.7142,722.5268
-3,290.9796,874.4826
-4,382.9708,959.2536
-5,392.5028,1180.3976
-6,397.2084,1265.2536
-7,400.8494,1338.356
-8,403.0252,1388.7528
-9,406.592,1439.1304
-10,409.1544,1499.2132
-11,411.0506,1566.523
-12,413.3152,1621.8954
-13,415.813,1693.8552
-14,418.473,1782.36
-15,420.365,1979.368
-16,421.7586,2104.1916
-17,424.1204,2210.3358
-18,427.0198,2346.908
-19,429.7634,2474.662
-20,431.6156,2604.62
-21,434.6576,2741.124
-22,438.5558,2910.22
-23,443.0428,3037.05
-24,447.8724,3156.598
-25,453.6116,3250.728
-26,460.8268,3334.364
-27,466.9676,3401.236
-28,475.1646,3499.8
-29,488.2582,3594.86
-30,503.222,3679.92
-35,527.8346,3763.668
-40,569.455,3984.79
-50,662.3074,4240.586
