Depth[m],Vs[m/sec],Vp[m/sec]
-0,161.637,552.49
-1,161.637,552.49
-2,247.4,580.19
-3,344.46,602.21
-4,352.68,621.67
-5,362.7,642.08
-6,372.69,657.97
-7,395.74,675.35
-8,411.78,689.02
-9,420.83,703.04
-10,427.14,717.07
-11,432.3,730.56
-12,437.14,745.19
-13,440.98,761.19
-14,444.53,780.37
-15,448.26,799.27
-16,452.1,830.05
-17,455.67,868.82
-18,460.36,1044.91
-19,464.8,1095.43
-20,469.69,1145.19
-21,476.44,1193.75
-22,483.26,1250.14
-23,490.26,1317.11
-24,499.73,1380.14
-25,512.27,1445.36
-26,526.05,1529.47
-27,538.91,1600.7
-28,555.83,1701.43
-29,578.94,1803.95
-30,616.28,1928.14
-35,661.69,2107.89
-40,719.68,2412.72
-45,799.7,2549.3
-50,906.24,2989.2
-55,1025.66,3535.8
-65,1518.96,4940
