Depth[m],Vs[m/sec],Vp[m/sec]
-0,172.17836,389.8694
-1,172.17836,389.8694
-2,246.3102,617.8104
-3,255.133,669.0976
-4,262.2754,712.4452
-5,269.0276,763.1522
-6,273.7968,805.8548
-7,278.3888,872.324
-8,282.1652,965.95
-9,285.7688,1181.3342
-10,288.2724,1541.2118
-11,291.9008,1970.9398
-12,294.6392,2326.822
-13,297.4632,2443.39
-14,301.1632,2540.472
-15,304.6308,2610.084
-16,308.5388,2671.274
-17,313.3164,2736.488
-18,316.8234,2789.808
-19,322.369,2854.22
-20,331.4982,2936.264
-21,339.0404,3005.548
-22,348.1354,3077.28
-23,359.6216,3163.66
-24,371.2976,3249.948
-25,386.3774,3339.932
-26,403.059,3446.268
-27,427.0108,3545.624
-28,457.6792,3640.314
-29,497.3286,3766.53
-30,546.9598,3957.168
-35,649.8268,4104.418
-45,838.5732,4402.722
