Depth[m],Vs[m/sec],Vp[m/sec]
-0,151.53442,350.5578
-1,151.53442,350.5578
-2,188.57188,421.0546
-3,220.7402,611.9492
-4,226.4182,718.5424
-5,231.0772,804.3212
-6,233.8316,889.1024
-7,237.1722,1039.7276
-8,239.7844,1208.9372
-9,241.431,1341.1238
-10,243.2094,1425.7448
-11,245.4164,1499.6366
-12,247.4216,1571.3514
-13,249.371,1659.5862
-14,250.9988,1753.7196
-15,253.4634,1835.645
-16,254.6814,1969.4564
-17,256.9528,2160.1664
-18,259.6356,2362.478
-19,262.4322,2491.658
-20,265.485,2589.174
-21,268.8822,2660.752
-22,272.1232,2750.664
-23,275.7392,2833.08
-24,279.0166,2904.522
-25,282.5142,2982.272
-26,287.6638,3097.734
-27,293.3612,3212.97
-28,299.5772,3346.05
-29,310.546,3489.892
-30,320.6106,3763.498
-35,334.1638,3885.156
-45,371.2,4181.628
