Depth[m],Vs[m/sec],Vp[m/sec]
-0,110.78696,178.56574
-1,110.78696,178.56574
-2,222.861,1092.3688
-3,306.6652,1118.5654
-4,504.3126,1132.133
-5,563.6242,1143.8826
-6,629.739,1160.1596
-7,667.8774,1173.6452
-8,692.9592,1186.2862
-9,709.1588,1201.4178
-10,723.5342,1216.3566
-11,735.0206,1234.9846
-12,748.78,1256.4242
-13,761.5556,1272.7282
-14,776.7262,1295.6126
-15,791.7104,1330.1938
-16,808.9494,1367.0722
-17,823.9684,1410.9442
-18,839.2594,1465.12
-19,862.1558,1523.352
-20,881.1954,1599.5204
-21,904.0038,1712.6506
-22,921.6438,1796.89
-23,943.8786,1903.6142
-24,961.226,2046.0744
-25,990.8508,2184.9368
-26,1022.8042,2797.774
-27,1051.9534,2941.384
-28,1085.0824,3176.43
-29,1128.7102,3584.19
-30,1171.4362,3776.64
-35,1239.7818,4002.926
-45,1335.6806,4664.968
